주문번호,종목이름,임시,거래량,거래대금,종가,기준가
008260,NI스틸,299,35172,82,2345,2340
004250,NPC,851,59235,241,4035,4000
004255,NPC우,18,9133,21,2315,2300
010060,OCI,4495,155453,10645,68100,69900
024940,PN풍년,133,17767,41,2315,2310
005490,POSCO,13121,239569,53545,224500,227000
218410,RFHIC,12559,778491,33709,43100,42050
091340,S&K폴리텍,625,112028,728,6490,6510
100840,S&TC,118,5663,96,16800,16750
064960,S&T모티브,4268,36660,1798,49000,49150
003570,S&T중공업,354,7707,47,6040,6000
036530,S&T홀딩스,82,1414,20,14600,14400
010950,S-Oil,7332,155405,15545,99800,98900
010955,S-Oil우,141,2533,154,60800,60600
019550,SBI인베스트먼트,3484,3041887,2131,681,661
950110,SBI핀테크솔루션즈,1638,106536,1068,10100,10150
034120,SBS,3239,58026,1005,17300,17400
101060,SBS미디어홀딩스,317,6500,14,2150,2145
046140,SBS콘텐츠허브,1283,43193,258,5870,5990
036120,SCI평가정보,454,151406,337,2240,2220
099220,SDN,3268,2199080,3624,1680,1605
036540,SFA반도체,22953,4855253,14875,3025,3025
255220,SG,692,142068,353,2475,2525
040610,SG&G,306,46930,94,2015,2010
049470,SGA,357,291632,230,785,785
184230,SGA솔루션즈,278,119136,160,1365,1345
004060,SG세계물산,1464,1077906,1074,999,965
001380,SG충방,335,96454,195,2025,2025
002360,SH에너지화학,892,509114,542,1070,1060
009160,SIMPAC,1154,237339,818,3420,3530
123700,SJM,46,1769,5,3010,3005
025530,SJM홀딩스,61,1324,4,3065,3065
034730,SK,10615,207091,50562,243000,240000
307070,SK4호스팩,7,5823,12,2085,2080
011790,SKC,5647,90341,3790,41900,41750
178920,SKC코오롱PI,12818,1054444,34951,32400,32050
018670,SK가스,877,6636,506,76600,77000
001740,SK네트웍스,4486,574102,2935,5070,5110
001745,SK네트웍스우,260,3002,271,90400,89000
006120,SK디스커버리,821,17999,414,23000,23050
006125,SK디스커버리우,40,2120,32,14900,15000
210980,SK디앤디,611,16278,448,27400,27400
036490,SK머티리얼즈,4494,33344,6213,186300,186200
052260,SK바이오랜드,268,40756,570,14000,14150
03473K,SK우,286,1740,261,150000,149500
096770,SK이노베이션,10464,183962,29975,162500,162000
096775,SK이노베이션우,319,2851,339,119000,118500
001510,SK증권,770,578827,353,608,611
001515,SK증권우,116,10030,28,2730,2765
285130,SK케미칼,1475,19163,917,47550,47850
28513K,SK케미칼우,34,348,7,20950,21000
017670,SK텔레콤,8657,109186,26113,239000,237000
000660,SK하이닉스,27256,1556196,126079,81000,82400
950180,SNK,181,30566,544,17950,17950
005610,SPC삼립,1926,6959,681,97000,97900
011810,STX,271,15647,128,8170,8150
